"","series","time","actual","Method1","Method2","Method3","Method4","Method5"
"1",1,1,4.37354618925767,5,6,4,7,4.96057100462897
"2",1,2,5.18364332422208,5,6,4,7,4.99406866032888
"3",1,3,4.16437138758995,5,6,4,7,5.11000253719839
"4",1,4,6.59528080213779,5,6,4,7,5.07631757484575
"5",1,5,5.32950777181536,5,6,4,7,4.98354764037464
"6",1,6,4.17953161588198,5,6,4,7,4.97466383198635
"7",1,7,5.48742905242849,5,6,4,7,5.06969633754047
"8",1,8,5.73832470512922,5,6,4,7,5.05566631986737
"9",1,9,5.57578135165349,5,6,4,7,4.93112443054505
"10",1,10,4.69461161284364,5,6,4,7,4.92925048430379
"11",1,11,6.51178116845085,5,6,4,7,5.03645819621368
"12",1,12,5.38984323641143,5,6,4,7,5.07685329245154
"13",1,13,4.3787594194582,5,6,4,7,4.98876537878498
"14",1,14,2.7853001128225,5,6,4,7,5.08811077264542
"15",1,15,6.12493091814311,5,6,4,7,5.03981058803671
"16",1,16,4.95506639098477,5,6,4,7,4.93879736067492
"17",1,17,4.98380973690105,5,6,4,7,5.03411196914244
"18",1,18,5.9438362106853,5,6,4,7,4.88706369039192
"19",1,19,5.82122119509809,5,6,4,7,5.1433023701701
"20",1,20,5.59390132121751,5,6,4,7,5.19803998985059
"21",1,21,5.91897737160822,5,6,4,7,4.96327785235335
"22",1,22,5.78213630073107,5,6,4,7,4.89558653736835
"23",1,23,5.07456498336519,5,6,4,7,5.05697196274424
"24",1,24,3.01064830413663,5,6,4,7,4.98649453961192
"25",1,25,5.61982574789471,5,6,4,7,5.24016177605048
"26",1,26,4.943871260471,5,6,4,7,4.99607599972668
"27",1,27,4.84420449329467,5,6,4,7,5.06897393624508
"28",1,28,3.52924761610073,5,6,4,7,5.00280021587807
"29",1,29,4.52184994489138,5,6,4,7,4.92567267911176
"30",1,30,5.4179415601997,5,6,4,7,5.01887922995143
"31",1,31,6.35867955152904,5,6,4,7,4.8195041371109
"32",1,32,4.897212272657,5,6,4,7,5.14655548615629
"33",1,33,5.38767161155937,5,6,4,7,5.01532533382119
"34",1,34,4.9461949594171,5,6,4,7,5.21726116703622
"35",1,35,3.62294044317139,5,6,4,7,5.04755095288997
"36",1,36,4.58500543670032,5,6,4,7,4.92900535690782
"37",2,1,4.69125943077439,5,6,4,7,4.99303451869871
"38",2,2,3.74671024439231,5,6,4,7,4.97523356583807
"39",2,3,5.64224130567782,5,6,4,7,5.06955508066196
"40",2,4,4.95529086310602,5,6,4,7,5.11462283572158
"41",2,5,3.26678159317516,5,6,4,7,4.75969037851081
"42",2,6,5.00213185968027,5,6,4,7,5.05727395552458
"43",2,7,4.36969966607185,5,6,4,7,5.03747244067787
"44",2,8,4.65903142013959,5,6,4,7,4.95747322784439
"45",2,9,3.84342763736415,5,6,4,7,5.09510128075768
"46",2,10,6.80314190791747,5,6,4,7,4.96107628182816
"47",2,11,4.66886796360878,5,6,4,7,4.97156693382004
"48",2,12,3.39448658774692,5,6,4,7,5.08574097780798
"49",2,13,5.19719343873948,5,6,4,7,5.17196272991206
"50",2,14,5.26317564640547,5,6,4,7,5.02700549009372
"51",2,15,4.01417329959071,5,6,4,7,4.95778159902124
"52",2,16,2.11107932832045,5,6,4,7,4.88108867051404
"53",2,17,4.35951829743489,5,6,4,7,4.9668967021121
"54",2,18,5.57050763592048,5,6,4,7,4.906017067349
"55",2,19,4.94027672395739,5,6,4,7,4.97410674168812
"56",2,20,4.90182125599477,5,6,4,7,5.03943791682216
"57",2,21,5.56082072862012,5,6,4,7,4.91481429079761
"58",2,22,3.81354136142053,5,6,4,7,5.26491668810949
"59",2,23,6.09677704427424,5,6,4,7,5.01560116756651
"60",2,24,4.99465597172183,5,6,4,7,5.11302072674549
"61",2,25,5.70731066739808,5,6,4,7,4.77108760201599
"62",2,26,6.03410773473746,5,6,4,7,5.07410011571954
"63",2,27,5.2234804149153,5,6,4,7,4.86837548395484
"64",2,28,4.12129238713398,5,6,4,7,5.09198036776091
"65",2,29,6.16296455596733,5,6,4,7,5.0398130155452
"66",2,30,2.99983505521452,5,6,4,7,4.95924714207302
"67",2,31,4.45520925999828,5,6,4,7,5.13242586301773
"68",2,32,4.74432929084301,5,6,4,7,4.92987683307531
"69",2,33,4.83387896323499,5,6,4,7,4.94193856957595
"70",2,34,6.02046390878411,5,6,4,7,4.89989278189746
"71",2,35,5.13622189310278,5,6,4,7,4.93318213932466
"72",2,36,5.40716760342384,5,6,4,7,5.09451849533731
"73",3,1,3.46820186003426,5,6,4,7,5.14802139600857
"74",3,2,4.97500236072174,5,6,4,7,5.10834299100833
"75",3,3,5.59298472102529,5,6,4,7,4.91867557433359
"76",3,4,4.80180457851536,5,6,4,7,4.83811231507764
"77",3,5,5.89200839247353,5,6,4,7,4.98903443005118
"78",3,6,4.97428492908185,5,6,4,7,5.0440889370917
"79",3,7,4.35233954941434,5,6,4,7,5.13509939798086
"80",3,8,5.64635941503464,5,6,4,7,4.86813905154664
"81",3,9,4.56616725997041,5,6,4,7,5.03643845926074
"82",3,10,6.7726111849785,5,6,4,7,5.02334998350885
"83",3,11,4.98174028883699,5,6,4,7,5.11939552612591
"84",3,12,5.85281499360053,5,6,4,7,4.99720900278704
"85",3,13,5.20516290324403,5,6,4,7,4.96427011454958
"86",3,14,1.99195140107952,5,6,4,7,4.88531858638816
"87",3,15,3.63388806867102,5,6,4,7,4.94825795164064
"88",3,16,4.57589773985519,5,6,4,7,4.96378762274217
"89",3,17,5.23680366374556,5,6,4,7,5.23505543257891
